Unidade Geográfica;Tema;Nome Indicador + Unidade de Medida ;Ano;Abrangência Geografica;Botao;Redefinir;Nome Curto Indicador;Rede Grupo;regiao_metropolitana;regiao_planejamento;TipoRede;Fonte;regionalizado;Unidade Medida;Valor;valor_adicional1;valor_adicional2
Forquilha;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2011;Forquilha;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;6;;
Frecheirinha;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2011;Frecheirinha;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;13;;
Graça;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2011;Graça;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;16;;
Groaíras;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2011;Groaíras;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;12;;
Massapê;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2011;Massapê;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;390;;
Meruoca;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2011;Meruoca;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Moraújo;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2011;Moraújo;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;46;;
Mucambo;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2011;Mucambo;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;2;;
Pacujá;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2011;Pacujá;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;2;;
Pires Ferreira;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2011;Pires Ferreira;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Reriutaba;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2011;Reriutaba;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;394;;
Santana do Acaraú;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2011;Santana do Acaraú;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;22;;
Senador Sá;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2011;Senador Sá;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;24;;
Sobral;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2011;Sobral;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;88;;
Varjota;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2011;Varjota;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;304;;
Alcântaras;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2012;Alcântaras;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Cariré;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2012;Cariré;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Coreaú;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2012;Coreaú;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;37;;
Forquilha;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2012;Forquilha;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;9;;
Frecheirinha;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2012;Frecheirinha;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;15;;
Graça;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2012;Graça;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;1;;
Groaíras;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2012;Groaíras;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;3;;
Massapê;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2012;Massapê;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;8;;
Meruoca;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2012;Meruoca;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;1;;
Moraújo;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2012;Moraújo;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Mucambo;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2012;Mucambo;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Pacujá;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2012;Pacujá;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Pires Ferreira;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2012;Pires Ferreira;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Reriutaba;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2012;Reriutaba;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;14;;
Santana do Acaraú;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2012;Santana do Acaraú;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;23;;
Senador Sá;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2012;Senador Sá;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;18;;
Sobral;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2012;Sobral;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;17;;
Varjota;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2012;Varjota;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;10;;
Alcântaras;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2013;Alcântaras;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;2;;
Cariré;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2013;Cariré;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Salitre;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2012;Salitre;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;31;;
Tarrafas;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2012;Tarrafas;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Várzea Alegre;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2012;Várzea Alegre;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;10;;
Abaiara;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2013;Abaiara;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;2;;
Altaneira;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2013;Altaneira;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Antonina do Norte;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2013;Antonina do Norte;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;11;;
Araripe;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2013;Araripe;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;23;;
Assaré;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2013;Assaré;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;4;;
Aurora;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2013;Aurora;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;31;;
Barro;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2013;Barro;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;76;;
Brejo Santo;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2013;Brejo Santo;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;362;;
Campos Sales;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2013;Campos Sales;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;136;;
Granjeiro;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2013;Granjeiro;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Jati;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2013;Jati;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Lavras da Mangabeira;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2013;Lavras da Mangabeira;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;2;;
Mauriti;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2013;Mauriti;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;516;;
Milagres;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2013;Milagres;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;91;;
Penaforte;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2013;Penaforte;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Porteiras;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2013;Porteiras;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;41;;
Potengi;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2013;Potengi;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;11;;
Salitre;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2013;Salitre;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;6;;
Tarrafas;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2013;Tarrafas;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Várzea Alegre;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2013;Várzea Alegre;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;11;;
Abaiara;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2014;Abaiara;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;1;;
Altaneira;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2014;Altaneira;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;3;;
Antonina do Norte;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2014;Antonina do Norte;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Araripe;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2014;Araripe;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;146;;
Assaré;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2014;Assaré;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;1;;
Aurora;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2014;Aurora;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;2;;
Barro;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2014;Barro;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;175;;
Brejo Santo;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2014;Brejo Santo;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;501;;
Campos Sales;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2014;Campos Sales;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;359;;
Granjeiro;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2014;Granjeiro;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Jati;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2014;Jati;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;5;;
Lavras da Mangabeira;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2014;Lavras da Mangabeira;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;94;;
Mauriti;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2014;Mauriti;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;111;;
Milagres;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2014;Milagres;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;76;;
Penaforte;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2014;Penaforte;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Porteiras;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2014;Porteiras;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;81;;
Potengi;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2014;Potengi;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;1;;
Salitre;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2014;Salitre;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;44;;
Tarrafas;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2014;Tarrafas;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Várzea Alegre;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2014;Várzea Alegre;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;2;;
Abaiara;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2015;Abaiara;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;46;;
Altaneira;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2015;Altaneira;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;1;;
Antonina do Norte;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2015;Antonina do Norte;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Araripe;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2015;Araripe;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;10;;
Assaré;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2015;Assaré;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;21;;
Aurora;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2015;Aurora;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;10;;
Barro;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2015;Barro;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;356;;
Brejo Santo;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2015;Brejo Santo;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;950;;
Campos Sales;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2015;Campos Sales;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;42;;
Granjeiro;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2015;Granjeiro;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Jati;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2015;Jati;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;74;;
Lavras da Mangabeira;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2015;Lavras da Mangabeira;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;42;;
Mauriti;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2015;Mauriti;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;555;;
Milagres;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2015;Milagres;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;229;;
Penaforte;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2015;Penaforte;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;23;;
Porteiras;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2015;Porteiras;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;626;;
Potengi;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2015;Potengi;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Salitre;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2015;Salitre;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;8;;
Tarrafas;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2015;Tarrafas;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Várzea Alegre;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2015;Várzea Alegre;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;452;;
Abaiara;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2016;Abaiara;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;6;;
Altaneira;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2016;Altaneira;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;14;;
Antonina do Norte;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2016;Antonina do Norte;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Araripe;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2016;Araripe;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;57;;
Assaré;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2016;Assaré;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;78;;
Aurora;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2016;Aurora;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Barro;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2016;Barro;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;10;;
Brejo Santo;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2016;Brejo Santo;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;161;;
Campos Sales;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2016;Campos Sales;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;265;;
Granjeiro;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2016;Granjeiro;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Jati;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2016;Jati;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;26;;
Lavras da Mangabeira;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2016;Lavras da Mangabeira;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;131;;
Mauriti;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2016;Mauriti;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;105;;
Milagres;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2016;Milagres;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;81;;
Penaforte;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2016;Penaforte;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;135;;
